('Real time:', '2022-07-01 08:31:19')
(1657642073.0, 90.15037593984962)
(1657842997.0, 90.21052631578948)
(1658068940.0, 90.38571428571429)
(1658287460.0, 90.41739130434783)
(1658319805.0, 90.43304347826087)
(1658405305.0, 90.32155963302753)
(1658526009.0, 90.30565217391306)
(1658591118.5, 90.40400000000001)
(1658600072.0, 90.39214285714286)
(1658775240.0, 90.2919191919192)
(1658962110.0, 89.66375)
(1658981818.0, 89.67161016949153)
(1659013235.0, 89.66410256410256)
(1659043978.0, 89.7024)
(1659050652.5, 89.72478260869566)
(1659057925.0, 89.66548672566371)
(1659066111.5, 89.74503816793894)
(1659087572.0, 89.73925925925927)
(1659107636.0, 89.69444444444444)
(1659113650.0, 89.81052631578949)
(1659119669.0, 89.775)
(1659130287.0, 89.78093220338984)
(1659140912.0, 89.77706422018349)
(1659220056.0, 89.77035398230089)
(1659298546.0, 89.78240740740742)
(1659303168.5, 89.79393939393941)
(1659307942.0, 89.89159292035399)
(1659315535.0, 89.80695652173914)
(1659345374.5, 89.7357142857143)
(1659376466.0, 89.715)
(1659385317.5, 89.82772727272729)
(1659405090.5, 89.72083333333333)
(1659424780.0, 89.81309523809524)
(1659429609.5, 89.85141843971633)
(1659434552.0, 89.8644927536232)
(1659439678.0, 89.83671875)
(1659454661.5, 89.84580152671757)
(1659469318.0, 89.85318181818182)
(1659473938.5, 89.84358974358975)
(1659478715.5, 89.91134453781513)
(1659483605.0, 89.9122807017544)
(1659488634.0, 89.86640000000001)
(1659494485.0, 89.92675438596491)
(1659582806.0, 89.79965986394559)
(1659669648.5, 89.79732142857144)
(1659673241.0, 89.87735042735044)
(1659676812.5, 89.84024390243903)
(1659680359.0, 89.89108527131783)
(1659684092.5, 89.86935483870968)
(1659688097.0, 89.97814814814815)
(1659692419.5, 89.93104838709678)
(1659726991.0, 89.77025862068966)
(1659787498.0, 89.73777777777778)
(1659817452.5, 89.84545454545456)
(1659820921.5, 89.80913043478262)
(1659824394.0, 89.8959349593496)
(1659828210.0, 89.84449541284404)
(1659832468.5, 89.92142857142858)
(1659837082.5, 89.90276073619633)
(1659841689.0, 89.87158273381296)
(1659846391.5, 89.91848739495799)
(1659851374.0, 89.88880597014926)
(1659862049.0, 89.95897435897436)
(1659871882.0, 89.88954545454546)
