#Data tag : 23v1 , Norm tag: None
#run:fill,time,nls,ncms,delivered(/fb),recorded(/fb)
366727:8675,04/28/23 00:14:39,243,243,0.016406076,0.015384790
366729:8675,04/28/23 02:28:26,414,414,0.028740483,0.027017133
366801:8685,04/29/23 13:49:49,429,429,0.025928824,0.024097700
366802:8685,04/29/23 16:38:53,22,22,0.001200256,0.001094793
366804:8685,04/29/23 16:52:11,150,150,0.007380364,0.007135669
366820:8686,04/29/23 20:17:19,372,372,0.023950768,0.021719921
366821:8686,04/29/23 22:43:29,967,967,0.057286544,0.053472109
366829:8690,04/30/23 10:56:23,215,215,0.012954668,0.011738860
366832:8690,04/30/23 12:27:18,258,258,0.020162717,0.018059364
366833:8690,04/30/23 14:14:16,623,623,0.034570092,0.032268773
366838:8691,04/30/23 20:25:11,112,112,0.006805640,0.006087084
366840:8691,04/30/23 21:16:27,180,180,0.014126732,0.011906859
366841:8691,04/30/23 22:30:41,258,258,0.018349487,0.016430794
366850:8692,05/01/23 03:02:36,141,141,0.009548931,0.008593299
366933:8701,05/03/23 02:56:24,1170,1170,0.203610462,0.190492118
367062:8723,05/05/23 13:39:01,13,13,0.000589469,0.000498855
367063:8723,05/05/23 13:50:58,15,15,0.000754161,0.000638263
367064:8723,05/05/23 13:58:54,327,327,0.024634009,0.022695565
367065:8723,05/05/23 17:09:08,262,262,0.018147768,0.016403644
367070:8724,05/05/23 22:59:27,83,83,0.011471080,0.011234916
367079:8725,05/06/23 05:51:51,713,713,0.128129072,0.120162918
367095:8728,05/06/23 13:29:02,564,564,0.116296330,0.109619344
367100:8729,05/06/23 20:09:21,346,346,0.069363300,0.065165684
367102:8729,05/06/23 22:28:48,75,75,0.016317724,0.015104964
367103:8729,05/06/23 23:02:02,64,64,0.013987490,0.012809402
367104:8729,05/06/23 23:31:30,1082,1082,0.191017247,0.183123726
367111:8730,05/07/23 09:24:23,288,288,0.055661595,0.051563915
367112:8730,05/07/23 11:19:36,1438,1438,0.254760342,0.243399966
367127:8731,05/07/23 22:42:33,333,333,0.099033687,0.092207596
367128:8731,05/08/23 00:54:20,7,7,0.002404124,0.002145257
367129:8731,05/08/23 01:01:54,3,3,0.001012358,0.000968801
367130:8731,05/08/23 01:05:47,153,153,0.043005141,0.040689394
367131:8731,05/08/23 02:12:34,149,149,0.039454687,0.037709424
367133:8731,05/08/23 03:12:46,275,275,0.082633265,0.079289973
367228:8736,05/08/23 23:46:35,239,239,0.057966405,0.054502904
367229:8736,05/09/23 01:25:47,34,34,0.011562576,0.010816690
367230:8736,05/09/23 01:44:57,1,1,0.000336376,0.000301846
367231:8736,05/09/23 01:48:31,22,22,0.007482599,0.006859231
367232:8736,05/09/23 01:59:29,996,996,0.320955246,0.307248611
367234:8736,05/09/23 08:33:08,501,501,0.129402186,0.124867409
367260:8738,05/09/23 18:06:48,187,187,0.052056337,0.049446358
367262:8738,05/09/23 19:32:02,262,262,0.089348339,0.083265606
367263:8738,05/09/23 21:23:59,12,12,0.004036481,0.003404597
367264:8738,05/09/23 21:31:14,847,847,0.228399693,0.217752163
367267:8739,05/10/23 05:37:29,278,278,0.065904507,0.061607449
367269:8739,05/10/23 07:33:29,33,33,0.011202893,0.009455872
367270:8739,05/10/23 07:48:56,961,961,0.286746951,0.271863665
367271:8739,05/10/23 14:08:10,135,135,0.030306084,0.029080692
367312:8741,05/10/23 21:23:55,216,216,0.045084379,0.042268064
367314:8741,05/10/23 22:55:00,20,20,0.006774068,0.006200752
367315:8741,05/10/23 23:11:42,893,893,0.255496553,0.244534845
367334:8746,05/11/23 11:40:36,299,299,0.091332934,0.083995721
367336:8746,05/11/23 13:40:58,169,169,0.065750458,0.062578974
367337:8746,05/11/23 14:49:42,1046,1046,0.295576636,0.284539377
367355:8750,05/12/23 03:30:34,4,4,0.000946252,0.000812672
367406:8754,05/12/23 16:38:10,429,429,0.159214115,0.149694068
367413:8754,05/12/23 20:13:16,1294,1294,0.424090478,0.400172916
367415:8754,05/13/23 04:52:02,97,97,0.022366881,0.021650459
367416:8754,05/13/23 05:40:55,55,55,0.012157008,0.011605930
367475:8771,05/14/23 12:33:10,579,579,0.236826454,0.216721509
367477:8771,05/14/23 16:23:22,1289,1289,0.400407320,0.384953958
367515:8773,05/15/23 07:38:07,625,625,0.247583494,0.229654992
367516:8773,05/15/23 11:48:44,1236,1236,0.428066963,0.404435587
367552:8775,05/16/23 00:21:36,11,11,0.001107383,0.000872434
367553:8775,05/16/23 00:27:38,644,644,0.270268482,0.256214661
367554:8775,05/16/23 04:39:53,312,312,0.127568297,0.120766311
367615:8782,05/17/23 04:49:11,432,432,0.169094051,0.160235919
367618:8782,05/17/23 08:11:09,324,324,0.138966818,0.132073296
367619:8782,05/17/23 10:19:47,577,577,0.186005033,0.179350374
367661:8784,05/18/23 00:24:43,317,317,0.115989119,0.108171867
367662:8784,05/18/23 02:29:53,18,18,0.008051205,0.007233731
367663:8784,05/18/23 02:38:47,1,1,0.000443884,0.000405942
367665:8784,05/18/23 02:51:18,271,271,0.121055421,0.112140630
