#run:fill,placeholder,time,nls,ncms,delivered(/fb),recorded(/fb)
354774:7893,-999,1656632687,212,212,1.4490999999999999e-05,1.4310999999999999e-05
354777:7894,-999,1656645918,160,160,5.449e-06,5.386000000000001e-06
354780:7895,-999,1656657079,31,0,5e-09,0.0
354784:7895,-999,1656657796,292,281,3.7999999999999996e-08,3.6e-08
354787:7895,-999,1656664588,373,373,3.6e-08,3.6e-08
355058:7916,-999,1656979980,350,350,5.4e-08,5.4e-08
355100:7920,-999,1657032445,283,279,2.6348000000000003e-05,2.5569000000000002e-05
355101:7920,-999,1657039021,33,31,2.615e-06,2.447e-06
355102:7920,-999,1657039784,23,20,1.5780000000000002e-06,1.191e-06
355103:7920,-999,1657040318,49,43,4.653e-06,3.837e-06
355104:7920,-999,1657041442,34,28,3.325e-06,2.5630000000000003e-06
355105:7920,-999,1657042233,35,29,3.395e-06,2.6810000000000003e-06
355106:7920,-999,1657043041,34,27,3.262e-06,2.401e-06
355107:7920,-999,1657043813,36,29,3.4430000000000003e-06,2.705e-06
355108:7920,-999,1657044631,41,34,4.0030000000000005e-06,3.167e-06
355109:7920,-999,1657045575,35,29,3.4810000000000002e-06,2.725e-06
355110:7920,-999,1657046379,34,28,3.366e-06,2.686e-06
355111:7920,-999,1657047167,33,28,3.25e-06,2.616e-06
355112:7920,-999,1657047960,33,27,3.226e-06,2.5230000000000002e-06
355113:7920,-999,1657048725,33,27,3.3089999999999996e-06,2.493e-06
355114:7920,-999,1657049491,7,4,7.09e-07,2e-09
355115:7920,-999,1657049636,6,1,6.079999999999999e-07,2e-09
355116:7920,-999,1657049759,7,5,7.11e-07,2e-09
355117:7920,-999,1657049965,39,34,3.8939999999999995e-06,3.278e-06
355118:7920,-999,1657050900,31,27,3.13e-06,2.571e-06
355119:7920,-999,1657051668,31,27,3.107e-06,2.595e-06
355120:7920,-999,1657052431,33,27,3.278e-06,2.514e-06
355121:7920,-999,1657053196,42,35,4.131e-06,3.343e-06
355122:7920,-999,1657054156,34,28,3.4789999999999996e-06,2.763e-06
355123:7920,-999,1657054941,33,27,3.3539999999999996e-06,2.535e-06
355124:7920,-999,1657055697,34,27,3.4239999999999997e-06,2.6389999999999996e-06
355125:7920,-999,1657056471,5,3,5.02e-07,2e-09
355126:7920,-999,1657056617,6,4,6.01e-07,2e-09
355127:7920,-999,1657056802,47,43,4.669e-06,4.172e-06
355128:7920,-999,1657057940,31,27,3.191e-06,2.6580000000000002e-06
355129:7920,-999,1657058700,31,27,3.186e-06,2.6969999999999998e-06
355130:7920,-999,1657059460,270,270,2.6728000000000002e-05,2.6336e-05
355133:7921,-999,1657074867,278,274,5.5398e-05,5.3704e-05
355134:7921,-999,1657081332,146,144,3.1147e-05,2.9424e-05
355135:7921,-999,1657084737,1081,1081,0.000213382,0.00020626900000000003
355203:7923,-999,1657153281,18,11,1.5089e-05,7.615e-06
355204:7923,-999,1657153679,22,14,1.7958e-05,6.1e-06
355205:7923,-999,1657154188,56,48,4.6219e-05,2.9939000000000003e-05
355206:7923,-999,1657155475,244,237,0.00019277400000000002,0.000148486
355207:7923,-999,1657161156,752,749,0.000546245,0.000535227
