#run:fill,placeholder,time,nls,ncms,delivered(/ub),recorded(/ub)
366727:8675,-999,1682633679,243,243,16406075.933336966,15384789.896102255
366729:8675,-999,1682641706,414,414,28740483.08714099,27017133.245164014
366801:8685,-999,1682768989,429,429,25928824.05491487,24097699.80815189
366802:8685,-999,1682779133,22,22,1200256.102540567,1094793.475721271
366804:8685,-999,1682779931,150,150,7380363.653978412,7135669.319028306
366820:8686,-999,1682792239,372,372,23950767.58212319,21719920.843633104
366821:8686,-999,1682801009,967,967,57286543.93406225,53472109.05064656
366829:8690,-999,1682844983,215,215,12954667.587072732,11738859.817066222
366832:8690,-999,1682850438,258,258,20162717.183218326,18059364.39455515
366833:8690,-999,1682856856,623,623,34570091.92293298,32268772.953171916
366838:8691,-999,1682879111,112,112,6805640.097283998,6087084.3041767115
366840:8691,-999,1682882187,180,180,14126732.177795673,11906859.487299465
366841:8691,-999,1682886641,258,258,18349486.797941186,16430793.57814431
366850:8692,-999,1682902956,141,141,9548930.645937657,8593298.563362524
366933:8701,-999,1683075384,1170,1170,203610461.70554724,190492117.91285592
367062:8723,-999,1683286741,13,13,589468.994910221,498854.519168802
367063:8723,-999,1683287458,15,15,754161.29111058,638262.871816271
367064:8723,-999,1683287934,327,327,24634009.372574255,22695565.41014724
367065:8723,-999,1683299348,262,262,18147768.050754324,16403643.937915973
367070:8724,-999,1683320367,83,83,11471080.171088768,11234915.7979786
367079:8725,-999,1683345111,713,713,128129071.62679924,120162918.47925018
367095:8728,-999,1683372542,564,564,116296329.72282128,109619344.04253463
367100:8729,-999,1683396561,346,346,69363299.56467967,65165683.60329912
367102:8729,-999,1683404928,75,75,16317724.200726733,15104963.804763725
367103:8729,-999,1683406922,64,64,13987490.358171545,12809401.775146753
367104:8729,-999,1683408690,1082,1082,191017247.11835536,183123726.00058004
367111:8730,-999,1683444263,288,288,55661595.13471505,51563915.37847037
367112:8730,-999,1683451176,1438,1438,254760342.25937408,243399965.62881583
367127:8731,-999,1683492153,333,333,99033686.66160278,92207595.84177531
367128:8731,-999,1683500060,7,7,2404123.621903551,2145256.503190815
367129:8731,-999,1683500514,3,3,1012357.7175231591,968801.226098462
367130:8731,-999,1683500747,153,153,43005141.08978393,40689393.627055615
367131:8731,-999,1683504754,149,149,39454687.11950316,37709423.74331273
367133:8731,-999,1683508366,275,275,82633265.1872829,79289972.53161693
367228:8736,-999,1683582395,239,239,57966405.0091597,54502903.50090114
367229:8736,-999,1683588347,34,34,11562575.985384095,10816690.462865613
367230:8736,-999,1683589497,1,1,336375.93384058896,301846.16686707
367231:8736,-999,1683589711,22,22,7482598.55550197,6859231.0084402235
367232:8736,-999,1683590369,996,996,320955246.04158086,307248610.6271537
367234:8736,-999,1683613988,501,501,129402186.12926988,124867409.0044986
367260:8738,-999,1683648408,187,187,52056337.37649118,49446357.93955593
367262:8738,-999,1683653522,262,262,89348338.80858138,83265605.73084246
367263:8738,-999,1683660239,12,12,4036481.44202241,3404597.300908662
367264:8738,-999,1683660674,847,847,228399692.52800068,217752162.62895277
367267:8739,-999,1683689849,278,278,65904506.84575898,61607448.76800146
367269:8739,-999,1683696809,33,33,11202893.01551882,9455872.131471206
367270:8739,-999,1683697736,961,961,286746950.78296906,271863664.57709813
367271:8739,-999,1683720490,135,135,30306084.04196524,29080691.92672031
367312:8741,-999,1683746635,216,216,45084379.25560319,42268064.07319645
367314:8741,-999,1683752100,20,20,6774067.89377462,6200751.581281798
367315:8741,-999,1683753102,893,893,255496553.0405444,244534845.3874562
367334:8746,-999,1683798036,299,299,91332934.36176254,83995721.11422627
367336:8746,-999,1683805258,169,169,65750458.00592874,62578973.9649308
367337:8746,-999,1683809382,1046,1046,295576635.7826081,284539376.8028551
367355:8750,-999,1683855034,4,4,946251.839080452,812672.4267470959
367406:8754,-999,1683902290,429,429,159214114.6181608,149694068.13055724
367413:8754,-999,1683915196,1294,1294,424090478.3959917,400172916.4451362
367415:8754,-999,1683946322,97,97,22366881.277387284,21650458.879163247
367416:8754,-999,1683949255,55,55,12157008.411032293,11605929.651164727
367475:8771,-999,1684060390,579,579,236826454.0137604,216721508.77060565
367477:8771,-999,1684074202,1289,1289,400407319.93043864,384953958.0377089
367515:8773,-999,1684129087,625,625,247583494.44115508,229654992.24672568
367516:8773,-999,1684144124,1236,1236,428066963.2372637,404435587.12310374
367552:8775,-999,1684189296,11,11,1107383.322193402,872434.431184395
367553:8775,-999,1684189658,644,644,270268482.3976226,256214661.4701137
367554:8775,-999,1684204793,312,312,127568297.1287893,120766311.16694464
367615:8782,-999,1684291751,432,432,169094051.01078758,160235919.18507916
367618:8782,-999,1684303869,324,324,138966818.11052752,132073296.28910932
367619:8782,-999,1684311587,577,577,186005032.718013,179350374.21746853
